type, amount, price
Regular, 22, $43.78
Premium, 55, $164.45000000000002
Midgrade, 22, $52.14
Midgrade, 22, $52.14
Regular, 22, $43.78
Midgrade, 10, $23.700000000000003
Midgrade, 5001, $11852.37
Midgrade, 333, $789.21
Regular, 22, $43.78
Midgrade, 33, $78.21000000000001
Midgrade, 222223, $526668.51
Midgrade, 2232232, $5290389.84
Midgrade, 32323232, $76606059.84
Regular, 22, $43.78
Regular, 22, $43.78
Regular, 4999.90, $9949.801
Regular, 22222, $44221.78
Regular, 22222, $44221.78
Midgrade, 33332, $78996.84
Regular, 334444, $665543.5599999999
Midgrade, 2343242, $5553483.54
Midgrade, 5000, $11850.0
Midgrade, 12, $28.44
Premium, 22, $65.78
Midgrade, 8000, $18960.0
Regular, 8000, $15920.0
Midgrade, 8000, $18960.0
Midgrade, 8000, $18960.0
Midgrade, 8000, $18960.0
Midgrade, 500098, $1185232.26
Midgrade, 8000, $18960.0
Midgrade, 2000, $4740.0
Midgrade, 10222, $24226.14
Midgrade, 103322, $244873.14
Midgrade, 8000, $18960.0
Midgrade, 23, $54.510000000000005
Midgrade, 34, $80.58
Regular, 23, $45.77
Midgrade, 12343, $29252.91
Midgrade, 22, $52.14
Midgrade, 21223, $50298.51
Regular, 22, $43.78
Midgrade, 11, $26.07
Midgrade, 232323, $550605.51
Regular, 22, $43.78
Midgrade, 12323, $29205.510000000002
Midgrade, 12121, $28726.77
Regular, 22, $43.78
Midgrade, 22, $52.14
Midgrade, 22, $52.14
Midgrade, 33, $78.21000000000001
Premium, 22, $65.78
Regular, 5000, $9950.0
Midgrade, -22, $-52.14
Regular, 22, $43.78
Regular, -2, $-3.98
Midgrade, 22, $52.14
Midgrade, 2, $4.74
Regular,  22, $43.78
